;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;key;mode;id
99;0.502;0.924;-6.299;0.0503;0.0127;0.0;0.162;0.922;149.186;219667;4;1;1hlveB9M6ijHZRbzZ2teyh
100;0.613;0.716;-7.782;0.025;0.23;0.000364;0.261;0.922;97.847;283800;7;1;4rNPfJ1S6Y3B48yIt1V70V
101;0.574;0.913;-4.793;0.133;0.061;0.00158;0.156;0.423;115.728;208400;6;0;2zYzyRzz6pRmhPzyfMEC8s
102;0.551;0.913;-4.063;0.0466;0.0263;1.35e-05;0.347;0.544;119.992;224493;0;0;0v1XpBHnsbkCn7iJ9Ucr1l
103;0.5;0.748;-9.072;0.0363;0.127;0.0;0.447;0.514;118.852;250987;4;1;4bHsxqR3GMrXTxEPLuK5ue
104;0.446;0.952;-5.321;0.0523;0.0901;0.0857;0.112;0.624;125.303;356067;6;1;7snQQk1zcKl8gZ92AnueZW
105;0.653;0.73;-10.613;0.0429;0.0115;1.02e-05;0.0776;0.894;108.709;220311;5;1;4JfuiOWlWCkjP6OKurHjSn
106;0.579;0.558;-6.986;0.0895;0.0202;1.26e-06;0.212;0.506;179.949;207357;2;1;7nzsY8vlnKdvGOEE0rjAXZ
107;0.496;0.739;-7.193;0.0415;0.0211;0.00444;0.106;0.378;132.41;336000;6;1;4JiEyzf0Md7KEFFGWDDdCr
108;0.82;0.452;-9.796;0.0348;0.543;0.00294;0.0714;0.74;117.401;253920;1;1;1JSTJqkT5qHq8MDJnJbRE1
109;0.505;0.698;-5.563;0.0297;0.33;0.0887;0.0966;0.599;115.013;243132;0;1;5TTGoX70AFrTvuEtqHK37S
110;0.377;0.681;-8.039;0.0298;0.00088;0.0023;0.0504;0.285;108.789;285133;7;1;1QEEqeFIZktqIpPI4jSVSF
111;0.356;0.917;-6.006;0.0479;0.0335;0.0;0.406;0.518;171.176;357267;9;1;57iDDD9N9tTWe75x6qhStw
112;0.488;0.862;-7.595;0.0476;0.0204;0.0;0.359;0.706;104.56;257827;0;1;1FkoVC85Ds3mFoK0fVqEqP
113;0.262;0.777;-8.671;0.0632;0.0109;0.113;0.12;0.264;152.5;182733;11;1;0rFWuqFgHAfuzE8uSB9TWR
114;0.456;0.59;-8.638;0.0327;0.00182;0.00379;0.104;0.243;124.635;283733;11;1;2N2yrmodOnVF10mKvItC9P
115;0.693;0.353;-17.852;0.0414;0.0704;0.00113;0.503;0.75;104.143;228587;0;1;7rPzEczIS574IgPaiPieS3
116;0.535;0.465;-6.754;0.0309;0.579;0.0;0.0855;0.437;96.781;173053;3;1;2ug96he0Y1QQOzddQZosM6
117;0.336;0.787;-8.803;0.0732;0.0793;0.0648;0.32;0.383;140.003;462093;10;0;6i4Qi1mJxXjqNIL9HfJhRs
118;0.523;0.989;-6.306;0.195;0.0655;0.0188;0.551;0.0559;105.573;242293;4;0;7FIq1KZva7CjQjHG6A8XUg
119;0.679;0.866;-6.053;0.0635;0.00376;3.1e-05;0.312;0.785;124.324;201400;0;1;1brpdmqkx3kSxyqzqXfW7J
120;0.41;0.929;-5.884;0.0354;0.0273;0.0013;0.12;0.554;138.462;261373;6;1;7xki0BmuOllyquWqjhETyr
121;0.31;0.7;-5.678;0.047;0.011;0.00965;0.0828;0.763;188.386;255493;9;1;08mG3Y1vljYA6bvDt4Wqkj
122;0.564;0.932;-10.068;0.0554;0.013;0.169;0.349;0.619;112.937;146250;11;1;78lgmZwycJ3nzsdgmPPGNx
123;0.723;0.863;-7.89;0.0338;0.0383;0.0317;0.128;0.931;136.302;222813;2;1;2PzU4IB8Dr6mxV3lHuaG34
124;0.579;0.508;-9.484;0.027;0.00574;0.000494;0.0575;0.609;147.125;391376;2;1;40riOy7x9W7GXjyGp4pjAv
125;0.502;0.89;-5.175;0.0364;0.000147;0.0117;0.217;0.259;133.52;292880;4;1;57bgtoPSgt236HzfBOd8kj
126;0.453;0.738;-8.16;0.0347;0.498;0.00488;0.0526;0.778;182.233;255702;9;1;5HlLgmHL8qafp46jMtlxZJ
127;0.433;0.644;-8.054;0.0381;0.000374;0.000357;0.117;0.323;91.773;394667;9;0;3SvTwrxQJyGJkeoPDbuNcu
