;danceability;energy;loudness;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;key;mode;id
131;0.107;0.143;-26.875;0.0405;0.984;0.972;0.831;0.127;185.123;285897;5;1;71euNsYxKwEwZ3FvU0MTnm
132;0.46;0.676;-13.972;0.0308;0.901;0.933;0.355;0.444;148.499;754721;7;0;0dIg2sKreVGnWJPSPotagc
133;0.219;0.201;-18.916;0.041;0.879;0.897;0.103;0.0378;115.912;272067;7;0;4AG1Am4GgFtXim8sEPRu2x
134;0.285;0.0158;-24.312;0.0483;0.947;0.457;0.126;0.0369;119.859;351467;0;1;2gnId4X22X5n0CTazrpKXb
135;0.131;0.202;-17.923;0.036;0.972;0.928;0.102;0.125;196.517;217000;10;0;4ao1c3kocrN8HFPw2Hr0F9
136;0.326;0.026;-23.41;0.0326;0.952;0.899;0.103;0.106;78.387;227856;11;1;0C0vcOFWcUGS4akipsgXg7
137;0.0887;0.0115;-35.008;0.0388;0.991;0.913;0.111;0.0889;69.478;389133;0;1;244AfRQzVwSOzkkRHGPWge
138;0.348;0.0386;-33.177;0.0416;0.992;0.925;0.106;0.145;119.889;299067;8;0;7kEEo8jl4RGQjcFYEFmIEw
139;0.336;0.11;-19.231;0.0444;0.951;0.935;0.11;0.0389;72.343;1313971;11;1;7pes8uQmsmsHtFiG1eFsJM
140;0.246;0.17;-18.665;0.0312;0.972;0.802;0.117;0.0926;137.542;244781;0;0;5430lhZjRoEfMSDrpTFZlH
141;0.535;0.0217;-23.491;0.0753;0.993;0.893;0.0916;0.085;61.702;87626;0;0;3kRdCFVDutmlxsMb9EmYQg
142;0.365;0.0341;-25.934;0.0408;0.993;0.923;0.0867;0.104;63.501;108506;2;1;4IaQbK6vmi0mqXrv17eoav
143;0.238;0.272;-14.014;0.0324;0.87;0.862;0.121;0.0472;102.991;392707;7;1;76eU51WbTiDUzc3g8nCTi5
144;0.229;0.0813;-25.808;0.0383;0.991;0.924;0.0959;0.052;103.179;270720;1;0;4sQBgAPX981djCcsjDJvQx
145;0.404;0.0731;-25.042;0.0321;0.984;0.953;0.104;0.0566;107.382;258871;5;1;6pdG1mJfMjVlMQXSUq1fJF
146;0.453;0.142;-20.01;0.0314;0.956;0.631;0.0789;0.0382;93.955;313107;8;1;4cgnEmICpWxp5ilDaWjMlH
147;0.391;0.193;-19.156;0.0276;0.977;0.956;0.138;0.295;177.887;311333;7;0;53KVgUd4X73rJ7xFdDlDFv
148;0.259;0.149;-17.743;0.037;0.956;0.812;0.111;0.394;187.749;266467;9;0;3fLcrmqIvMciNhzZDvF7Nr
149;0.452;0.107;-19.06;0.0347;0.937;0.879;0.0725;0.0611;93.017;229813;9;0;7CaZBmJLnPIV6zcWU9HfOu
150;0.255;0.0544;-24.401;0.0448;0.985;0.892;0.11;0.111;169.66;148000;8;1;4gnse1wE1sdaO1LNqyDVCo
151;0.0752;0.0897;-22.872;0.0463;0.941;0.894;0.111;0.0382;77.51;367000;3;0;2IbvPIObLKU3KSiupcOURK
152;0.572;0.548;-9.759;0.0435;0.588;0.963;0.384;0.5;95.085;126472;7;1;6lINBDEy5e8Qgd9LEOC4qg
153;0.437;0.183;-25.455;0.0369;0.985;0.916;0.0989;0.0393;138.098;295293;9;0;6Yy3QRfT2WsUXrdplVdt4h
154;0.197;0.125;-21.441;0.0355;0.985;0.828;0.0807;0.0392;127.496;234488;0;0;5Z3FaJVjpsAnl2oqrvU4cw
155;0.277;0.0269;-28.079;0.0381;0.937;0.889;0.112;0.058;136.824;155066;9;0;2r5RuaJp5SOSlNtdRSm0rk
156;0.163;0.196;-16.515;0.0577;0.228;0.766;0.363;0.0334;90.56;237018;0;1;4Mh2eL3BqPU9yqEUQDPu2U
157;0.338;0.0925;-16.555;0.0438;0.991;0.918;0.116;0.0395;79.336;357333;5;0;4R8lTXhSoaNPtbda76jSWh
158;0.304;0.127;-23.207;0.0408;0.968;0.873;0.109;0.0397;124.893;207418;5;0;4r80liYD5p4mT9v8ZShLsO
159;0.428;0.493;-15.488;0.0336;0.879;0.9;0.0962;0.044;109.821;536700;10;0;20fRBz84FVqUcDJDMnEcJ1
160;0.397;0.0113;-29.005;0.0443;0.98;0.921;0.113;0.0729;123.652;181722;8;0;52o0rOFFGNEekY4o0xV0AK
161;0.241;0.147;-16.639;0.0322;0.97;0.923;0.102;0.0398;111.51;302463;2;1;38c81BmwwPgUowPc9Am1K4
162;0.515;0.437;-13.779;0.0551;0.848;0.922;0.194;0.399;169.933;173286;9;1;3JR5Txh1LhqfldLbFKgVxw
163;0.387;0.0616;-23.838;0.0422;0.99;0.915;0.058;0.279;209.852;178973;7;0;2fWCXfSnr07XKJAfPWlevl
164;0.0897;0.0271;-29.619;0.0467;0.984;0.677;0.108;0.0319;84.69;342333;10;0;4TjJ5b22AXzgnhtofTrRAP
165;0.191;0.184;-16.245;0.0377;0.863;0.919;0.192;0.0343;71.404;296000;5;1;1uLAv1qbMjCYX4R07sSkgM
166;0.252;0.193;-17.863;0.0447;0.971;0.949;0.108;0.184;82.903;383400;5;1;35pO11yyhKYnOv9L8pLwa8
167;0.227;0.0749;-19.9;0.0347;0.852;0.916;0.309;0.0932;109.317;309162;7;0;2GYBT0i2y1VYUEcmb1LUEY
168;0.165;0.41;-10.647;0.0304;0.701;0.105;0.0931;0.134;84.342;1325627;0;0;5SrrNjgc5Diwj3IunGepM6
169;0.336;0.039;-36.303;0.0359;0.958;0.915;0.0847;0.226;132.723;256187;2;1;3MgYUK8TMuSjtiWHEB5iEj
170;0.141;0.0261;-26.192;0.0412;0.975;0.922;0.0683;0.0474;72.175;591800;2;0;698pBLO9b2LXoKMXSPYA7Z
171;0.204;0.173;-21.789;0.0472;0.826;0.653;0.0895;0.172;167.438;416147;7;0;7u2JjLuuYyhk38XARoWz64
172;0.172;0.0429;-28.28;0.0395;0.924;0.672;0.188;0.0542;85.249;869907;6;1;5ym63GuRZfWvPi7tgwF2oY
173;0.462;0.156;-23.297;0.0429;0.978;0.92;0.0989;0.313;140.009;166307;0;1;7t5v9w9yHnUdWPERrLMxyB
174;0.325;0.191;-16.562;0.0338;0.951;0.843;0.114;0.174;121.946;313302;4;1;09QxYRiNtm0ZcC5pwjc154
175;0.192;0.237;-16.287;0.0448;0.935;0.618;0.295;0.411;80.81;215096;6;1;1NcHePbTSfEroRdYjxTWQG
176;0.368;0.0162;-31.738;0.032;0.984;0.907;0.122;0.0879;89.812;234058;10;1;3bumSyE26AOO3ONuuDBZ4T
177;0.256;0.14;-16.746;0.0363;0.873;0.952;0.11;0.115;127.965;187260;9;0;54qHVfFBDqK0Q2dFYD60LH
178;0.062;0.117;-16.212;0.0374;0.954;0.857;0.0778;0.0374;67.791;447869;0;1;6Y6ebculhOE6UWzLzAUVxA
179;0.0918;0.323;-15.931;0.053;0.129;0.958;0.0936;0.0288;166.584;262583;1;1;71YFcWfgFA5EyroNiZQFI0
180;0.356;0.381;-14.835;0.0557;0.772;0.00215;0.0303;0.0568;171.771;1159267;10;1;2tTFaDXetHOG20n9BaUZzA
181;0.252;0.0793;-18.423;0.0395;0.977;0.915;0.0927;0.0383;119.974;394013;9;0;4No1vmeRMfE5UIsLYvrqdI
182;0.142;0.0121;-32.504;0.0396;0.992;0.941;0.107;0.0379;72.49;450959;2;1;5ZbogTxgCSFk6tjok4lFs3
183;0.146;0.257;-14.253;0.0321;0.875;0.855;0.102;0.144;83.35;478600;3;0;4Zi2aMNESICh2X81B1XgHm
184;0.211;0.36;-13.35;0.0367;0.824;0.907;0.0533;0.0376;68.942;192178;0;0;4XLlUQumtPdGTcruqjQCpG
185;0.317;0.0287;-28.525;0.0359;0.992;0.828;0.138;0.081;78.797;211113;2;1;0GtsRKyFGDc4h2E1uv0xbM
186;0.218;0.346;-15.119;0.0345;0.56;0.891;0.437;0.0832;63.189;363000;1;1;2uxYNChc45K9GTciBoeChp
187;0.414;0.171;-25.092;0.0372;0.996;0.931;0.105;0.188;115.136;160400;5;1;3imzvfn1FHeaQ8rMYSRtr0
188;0.207;0.177;-18.702;0.0338;0.952;0.938;0.11;0.0371;68.304;808600;7;0;3wewJBZu0nvrr5UD2jUrlh
189;0.42;0.143;-26.465;0.0394;0.987;0.918;0.106;0.194;143.76;261307;4;0;0qLJdyq6rqXQmdlzjtcCs1
190;0.208;0.0479;-29.138;0.0382;0.994;0.917;0.0927;0.0628;76.698;322587;7;1;36O0ZpLTP4aPCNim62cy61
191;0.191;0.0622;-27.228;0.0367;0.968;0.948;0.0954;0.0388;140.024;255933;10;0;0b0uQ9IgCNg7YRFcdwLKQW
192;0.4;0.033;-30.44;0.0436;0.992;0.949;0.106;0.0619;57.16;306547;11;0;2xDTjMKOAPdHW9n6CH1WDp
193;0.274;0.0102;-28.455;0.0369;0.993;0.942;0.118;0.0397;181.356;212749;2;0;5Fu5M34hXyJwN0aW5c6YnN
194;0.253;0.11;-20.318;0.0428;0.976;0.714;0.0897;0.0738;101.082;644293;5;1;3PxYJdQ1xHjjCZ7FTzCZxn
195;0.437;0.509;-13.568;0.0662;0.9;0.91;0.498;0.247;177.975;539800;1;0;2Rf7ytF4DAzVP3fBwyQHfR
